Council,DEA,Elected,Name,Party,FirstPrefs,PartyGrouped,Category,DataCategory
Antrim and Newtownabbey,Airport,Y,"McAuley, Vikki",Alliance,1221,AP,Other,2019 Votes
Antrim and Newtownabbey,Airport,Y,"Magill, Matthew",DUP,1164,DUP,Unionist,2019 Votes
Antrim and Newtownabbey,Airport,Y,"Burns, Thomas",SDLP,1125,SDLP,Nationalist,2019 Votes
Antrim and Newtownabbey,Airport,Y,"Logue, Anne-Marie",Sinn Féin,1095,SF,Nationalist,2019 Votes
Antrim and Newtownabbey,Airport,Y,"Michael, Paul",UUP,893,UUP,Unionist,2019 Votes
Antrim and Newtownabbey,Airport,,"Rea, Mervyn",UUP,568,UUP,Unionist,2019 Votes
Antrim and Newtownabbey,Airport,,"Rooney, Cathy",Sinn Féin,505,SF,Nationalist,2019 Votes
Antrim and Newtownabbey,Airport,,"Mallon, Ben",DUP,481,DUP,Unionist,2019 Votes
Antrim and Newtownabbey,Antrim,Y,"Kelly, Neil",Alliance,1689,AP,Other,2019 Votes
Antrim and Newtownabbey,Antrim,Y,"Smyth, John",DUP,734,DUP,Unionist,2019 Votes
Antrim and Newtownabbey,Antrim,Y,"Lynch, Roisin",SDLP,723,SDLP,Nationalist,2019 Votes
Antrim and Newtownabbey,Antrim,Y,"Smyth, Leah",UUP,615,UUP,Unionist,2019 Votes
Antrim and Newtownabbey,Antrim,Y,"Dunlop, Paul",DUP,603,DUP,Unionist,2019 Votes
Antrim and Newtownabbey,Antrim,,"Magee, Gerard",Sinn Féin,583,SF,Nationalist,2019 Votes
Antrim and Newtownabbey,Antrim,Y,"Montgomery, Jim",UUP,416,UUP,Unionist,2019 Votes
Antrim and Newtownabbey,Antrim,,"McMeekin, Karl",DUP,363,DUP,Unionist,2019 Votes
Antrim and Newtownabbey,Antrim,,"Cochrane-Watson, Adrian",Independent Unionist,359,Independent Unionist,Unionist,2019 Votes
Antrim and Newtownabbey,Antrim,,"Cairns, Richard William",TUV,347,TUV,Unionist,2019 Votes
Antrim and Newtownabbey,Ballyclare,Y,"Kinahan, Danny",UUP,1253,UUP,Unionist,2019 Votes
Antrim and Newtownabbey,Ballyclare,Y,"Stewart, Michael",Independent,1182,Independent,Other,2019 Votes
Antrim and Newtownabbey,Ballyclare,Y,"Girvan, Mandy",DUP,861,DUP,Unionist,2019 Votes
Antrim and Newtownabbey,Ballyclare,,"English, Gary",Alliance,775,AP,Other,2019 Votes
Antrim and Newtownabbey,Ballyclare,Y,"Archibald, Jeannie",DUP,739,DUP,Unionist,2019 Votes
Antrim and Newtownabbey,Ballyclare,Y,"McWilliam, Vera",UUP,707,UUP,Unionist,2019 Votes
Antrim and Newtownabbey,Ballyclare,,"Arthurs, David",Independent,457,Independent,Other,2019 Votes
Antrim and Newtownabbey,Ballyclare,,"Orr, Austin",DUP,443,DUP,Unionist,2019 Votes
Antrim and Newtownabbey,Ballyclare,,"Ramsay, Norrie",UUP,341,UUP,Unionist,2019 Votes
Antrim and Newtownabbey,Dunsilly,Y,"Cushinan, Henry",Sinn Féin,1064,SF,Nationalist,2019 Votes
Antrim and Newtownabbey,Dunsilly,Y,"Finlay, Glenn",Alliance,989,AP,Other,2019 Votes
Antrim and Newtownabbey,Dunsilly,Y,"Clarke, Linda",DUP,965,DUP,Unionist,2019 Votes
Antrim and Newtownabbey,Dunsilly,,"Greer, Jordan",DUP,907,DUP,Unionist,2019 Votes
Antrim and Newtownabbey,Dunsilly,Y,"Wilson, Ryan",SDLP,902,SDLP,Nationalist,2019 Votes
Antrim and Newtownabbey,Dunsilly,Y,"Swann, Roderick",UUP,711,UUP,Unionist,2019 Votes
Antrim and Newtownabbey,Dunsilly,,"Maguire, Andrew",Sinn Féin,552,SF,Nationalist,2019 Votes
Antrim and Newtownabbey,Dunsilly,,"Thomas, Gareth",UUP,424,UUP,Unionist,2019 Votes
Antrim and Newtownabbey,Glengormley Urban,Y,"McGrath, Julian",Alliance,1345,AP,Other,2019 Votes
Antrim and Newtownabbey,Glengormley Urban,Y,"Brett, Phillip",DUP,1099,DUP,Unionist,2019 Votes
Antrim and Newtownabbey,Glengormley Urban,Y,"McClelland, Noreen",SDLP,992,SDLP,Nationalist,2019 Votes
